Gene_IDs	Gene_Names	log2FoldChange	pvalue	padj
ENSG00000115590	IL1R2	10.62468946	6.27E-18	1.11E-15
ENSG00000135636	DYSF	7.838284586	6.83E-14	6.91E-12
ENSG00000257335	MGAM	7.407345609	1.13E-05	0.000151325
ENSG00000133048	CHI3L1	7.278721496	7.03E-08	1.94E-06
ENSG00000113569	NUP155	7.218148922	4.47E-12	2.96E-10
ENSG00000070061	ELP1	7.178243543	7.73E-10	3.47E-08
ENSG00000072274	TFRC	7.1684322	3.56E-12	2.45E-10
ENSG00000154359	LONRF1	7.142568013	3.15E-09	1.23E-07
ENSG00000122025	FLT3	7.1329026	3.36E-07	7.45E-06
ENSG00000164821	DEFA4	7.099352948	8.90E-10	3.91E-08
ENSG00000182463	TSHZ2	7.033540309	2.12E-08	6.50E-07
ENSG00000102780	DGKH	7.008709264	8.53E-14	8.27E-12
ENSG00000174032	SLC25A30	6.962161429	2.85E-18	5.21E-16
ENSG00000198734	F5	6.913575632	4.38E-07	9.39E-06
ENSG00000165899	OTOGL	6.836589938	1.25E-07	3.17E-06
ENSG00000104043	ATP8B4	6.798402473	4.52E-09	1.69E-07
ENSG00000136040	PLXNC1	6.730832986	1.38E-07	3.43E-06
ENSG00000149516	MS4A3	6.619339247	5.93E-06	8.80E-05
ENSG00000007237	GAS7	6.602180038	9.07E-08	2.40E-06
ENSG00000178904	DPY19L3	6.567196235	5.46E-12	3.60E-10
ENSG00000124469	CEACAM8	6.520345128	3.32E-06	5.33E-05
ENSG00000184445	KNTC1	6.4934198	2.24E-13	2.04E-11
ENSG00000134827	TCN1	6.488848519	1.10E-05	0.000149237
ENSG00000188559	RALGAPA2	6.468402258	5.42E-09	1.97E-07
ENSG00000266402	SNHG25	6.45391164	1.06E-14	1.20E-12
ENSG00000155659	VSIG4	6.375806374	1.15E-06	2.14E-05
ENSG00000135048	CEMIP2	6.365201971	7.33E-09	2.58E-07
ENSG00000152223	EPG5	6.33971856	6.55E-09	2.34E-07
ENSG00000140199	SLC12A6	6.297902394	9.33E-12	5.95E-10
ENSG00000092964	DPYSL2	6.289914963	2.48E-13	2.22E-11
ENSG00000116005	PCYOX1	6.235387579	7.49E-09	2.61E-07
ENSG00000127463	EMC1	6.234248705	2.21E-05	0.000269753
ENSG00000131355	ADGRE3	6.17622235	1.52E-04	0.001372967
ENSG00000174111	SOCS7	6.174292329	7.52E-08	2.05E-06
ENSG00000103196	CRISPLD2	6.11162979	9.11E-06	0.000127394
ENSG00000133657	ATP13A3	6.061423587	3.22E-06	5.20E-05
ENSG00000185722	ANKFY1	5.98518343	3.26E-08	9.62E-07
ENSG00000148848	ADAM12	5.977451889	7.78E-10	3.47E-08
ENSG00000118520	ARG1	5.972760586	4.18E-07	9.02E-06
ENSG00000146350	TBC1D32	5.956328062	4.43E-07	9.48E-06
ENSG00000113916	BCL6	5.942684522	2.77E-09	1.10E-07
ENSG00000120451	SNX19	5.934694137	1.61E-14	1.77E-12
ENSG00000175899	A2M	5.909057369	3.27E-05	0.000377712
ENSG00000153066	TXNDC11	5.892130903	4.68E-08	1.34E-06
ENSG00000109458	GAB1	5.880216567	2.67E-10	1.30E-08
ENSG00000085982	USP40	5.86735491	5.35E-05	0.000578016
ENSG00000142405	NLRP12	5.848367333	6.00E-07	1.23E-05
ENSG00000173200	PARP15	5.845590246	1.41E-07	3.47E-06
ENSG00000119685	TTLL5	5.819881514	2.42E-11	1.41E-09
ENSG00000080986	NDC80	5.777526959	1.05E-06	1.97E-05
ENSG00000182022	CHST15	5.758942726	4.56E-06	7.01E-05
ENSG00000162687	KCNT2	5.750623573	4.14E-05	0.000465775
ENSG00000123066	MED13L	5.736937666	4.62E-16	6.24E-14
ENSG00000070882	OSBPL3	5.731615468	3.02E-06	4.94E-05
ENSG00000095319	NUP188	5.730214667	8.92E-08	2.38E-06
ENSG00000164151	ICE1	5.701269151	1.99E-07	4.69E-06
ENSG00000089022	MAPKAPK5	5.693814477	5.43E-06	8.13E-05
ENSG00000162599	NFIA	5.687854547	2.87E-07	6.48E-06
ENSG00000142731	PLK4	5.671615113	2.49E-05	0.000297945
ENSG00000048392	RRM2B	5.65678099	1.47E-06	2.64E-05
ENSG00000106780	MEGF9	5.65077768	9.68E-06	0.00013439
ENSG00000138738	PRDM5	5.650198334	3.45E-06	5.51E-05
ENSG00000100731	PCNX1	5.649469781	1.21E-07	3.10E-06
ENSG00000096433	ITPR3	5.609837104	1.91E-06	3.34E-05
ENSG00000103091	WDR59	5.601692978	3.61E-07	7.92E-06
ENSG00000105967	TFEC	5.600121554	3.56E-06	5.63E-05
ENSG00000103175	WFDC1	5.586218391	1.25E-07	3.17E-06
ENSG00000113971	NPHP3	5.58087628	2.14E-10	1.07E-08
ENSG00000165801	ARHGEF40	5.558570239	4.41E-06	6.83E-05
ENSG00000163492	CCDC141	5.543673104	1.83E-04	0.00160495
ENSG00000197081	IGF2R	5.516592104	4.44E-07	9.49E-06
ENSG00000085721	RRN3	5.505143736	1.89E-07	4.48E-06
ENSG00000042317	SPATA7	5.495120409	7.99E-06	0.000113433
ENSG00000014257	ACP3	5.490451293	1.40E-03	0.008629432
ENSG00000123384	LRP1	5.476737293	1.86E-06	3.25E-05
ENSG00000198554	WDHD1	5.471058328	6.92E-06	0.000100439
ENSG00000108582	CPD	5.470326804	3.65E-07	7.97E-06
ENSG00000151553	FHIP2A	5.465416388	9.07E-11	4.85E-09
ENSG00000118503	TNFAIP3	5.456446578	9.09E-06	0.000127373
ENSG00000086548	CEACAM6	5.448959183	6.75E-04	0.004783141
ENSG00000151726	ACSL1	5.443336582	1.05E-08	3.51E-07
ENSG00000251323	LINC02728	5.43791121	7.97E-11	4.30E-09
ENSG00000103335	PIEZO1	5.429402277	3.49E-05	0.000401336
ENSG00000144909	OSBPL11	5.410357386	4.86E-06	7.39E-05
ENSG00000167548	KMT2D	5.409473032	3.52E-07	7.74E-06
ENSG00000108773	KAT2A	5.405270391	1.40E-04	0.001274089
ENSG00000113300	CNOT6	5.393702009	6.61E-09	2.35E-07
ENSG00000102218	RP2	5.392701332	5.45E-17	8.71E-15
ENSG00000082014	SMARCD3	5.391996573	1.28E-04	0.001185379
ENSG00000164047	CAMP	5.390591589	1.87E-08	5.83E-07
ENSG00000133816	MICAL2	5.387405173	5.16E-06	7.77E-05
ENSG00000117399	CDC20	5.377331145	9.56E-05	0.000935155
ENSG00000095951	HIVEP1	5.372574241	7.85E-07	1.52E-05
ENSG00000122707	RECK	5.364562927	3.69E-06	5.84E-05
ENSG00000091137	SLC26A4	5.353573679	5.48E-04	0.003989948
ENSG00000238683	snoU13	5.34997936	2.40E-06	4.08E-05
ENSG00000101104	PABPC1L	5.339063551	6.90E-05	0.000714592
ENSG00000099821	POLRMT	5.335082696	1.67E-05	0.000211855
ENSG00000003393	ALS2	5.330230939	1.25E-07	3.17E-06
ENSG00000239839	DEFA3	5.326662842	8.26E-08	2.23E-06
ENSG00000152683	SLC30A6	5.304524013	2.05E-08	6.29E-07
ENSG00000012223	LTF	5.300911269	5.09E-09	1.87E-07
ENSG00000029993	HMGB3	5.298439367	2.27E-05	0.000275931
ENSG00000163378	EOGT	5.290417314	4.50E-05	0.000500841
ENSG00000001084	GCLC	5.286446581	7.73E-06	0.000110269
ENSG00000124181	PLCG1	5.284281651	8.46E-05	0.000844108
ENSG00000108506	INTS2	5.281125447	2.72E-06	4.55E-05
ENSG00000167207	NOD2	5.275175603	5.11E-05	0.000558691
ENSG00000123836	PFKFB2	5.263626695	1.49E-04	0.001345821
ENSG00000109680	TBC1D19	5.259632605	1.26E-08	4.10E-07
ENSG00000093134	VNN3P	5.253209882	3.71E-04	0.002898771
ENSG00000173930	SLCO4C1	5.25031059	2.29E-04	0.001921683
ENSG00000121578	B4GALT4	5.246545066	6.94E-07	1.38E-05
ENSG00000066084	DIP2B	5.241080191	3.73E-05	0.000424785
ENSG00000155100	OTUD6B	5.240542774	3.90E-06	6.12E-05
ENSG00000106299	WASL	5.233005753	1.16E-06	2.14E-05
ENSG00000240038	AMY2B	5.22247381	8.74E-05	0.000868585
ENSG00000133812	SBF2	5.219007867	1.01E-04	0.000974242
ENSG00000100403	ZC3H7B	5.216297051	3.96E-09	1.51E-07
ENSG00000166900	STX3	5.211890318	7.46E-05	0.000761043
ENSG00000249437	NAIP	5.209866099	2.46E-05	0.000294649
ENSG00000176225	RTTN	5.205792475	1.46E-05	0.000189086
ENSG00000116830	TTF2	5.203357925	1.66E-07	3.98E-06
ENSG00000137757	CASP5	5.203231873	2.46E-04	0.002051176
ENSG00000130723	PRRC2B	5.199140228	1.27E-07	3.21E-06
ENSG00000112077	RHAG	5.195215267	7.44E-05	0.000759758
ENSG00000102921	N4BP1	5.185903928	1.90E-06	3.32E-05
ENSG00000124224	PPP4R1L	5.177190677	5.05E-05	0.000553083
ENSG00000164828	SUN1	5.161685385	2.61E-06	4.39E-05
ENSG00000004939	SLC4A1	5.149814588	1.35E-07	3.36E-06
ENSG00000185215	TNFAIP2	5.143566022	3.69E-05	0.000420626
ENSG00000177575	CD163	5.135161359	5.56E-07	1.15E-05
ENSG00000179869	ABCA13	5.134003234	9.04E-04	0.006060478
ENSG00000069702	TGFBR3	5.120898936	4.11E-05	0.000463823
ENSG00000138658	ZGRF1	5.113462856	4.75E-06	7.26E-05
ENSG00000187240	DYNC2H1	5.103352578	9.52E-05	0.000932034
ENSG00000115295	CLIP4	5.099131567	4.52E-07	9.60E-06
ENSG00000167900	TK1	5.098797137	6.08E-05	0.000643762
ENSG00000106948	AKNA	5.088185083	3.28E-07	7.30E-06
ENSG00000110446	SLC15A3	5.085316346	1.92E-04	0.001667244
ENSG00000196549	MME	5.065882688	7.57E-06	0.000108305
ENSG00000131724	IL13RA1	5.058877691	3.12E-04	0.002504091
ENSG00000248905	FMN1	5.053556036	3.39E-04	0.002680206
ENSG00000164070	HSPA4L	5.043427674	2.43E-04	0.002025308
ENSG00000175445	LPL	5.040719324	6.88E-04	0.004867112
ENSG00000183091	NEB	5.029873328	1.49E-04	0.001344874
ENSG00000008869	HEATR5B	5.027856908	8.01E-15	9.46E-13
ENSG00000196083	IL1RAP	5.023813457	1.01E-03	0.006605409
ENSG00000166263	STXBP4	5.019563334	2.58E-06	4.36E-05
ENSG00000117408	IPO13	5.016156793	5.31E-05	0.000574132
ENSG00000188906	LRRK2	4.993979401	2.24E-08	6.79E-07
ENSG00000109685	NSD2	4.976336391	4.87E-10	2.29E-08
ENSG00000138160	KIF11	4.974931023	4.77E-04	0.003570443
ENSG00000168411	RFWD3	4.964937558	1.33E-04	0.001220464
ENSG00000164654	MIOS	4.949573095	2.11E-05	0.000259013
ENSG00000094963	FMO2	4.947938502	1.42E-03	0.008738059
ENSG00000170962	PDGFD	4.947287841	7.29E-07	1.43E-05
ENSG00000049167	ERCC8	4.945448183	3.54E-05	0.000406506
ENSG00000116641	DOCK7	4.944605955	8.13E-06	0.00011521
ENSG00000183023	SLC8A1	4.943250662	4.86E-04	0.003614179
ENSG00000096060	FKBP5	4.943112538	1.14E-11	7.08E-10
ENSG00000204160	ZDHHC18	4.917812136	4.10E-04	0.003158486
ENSG00000155304	HSPA13	4.895942995	8.19E-08	2.22E-06
ENSG00000073712	FERMT2	4.892909179	7.76E-04	0.005362953
ENSG00000068654	POLR1A	4.891576026	4.61E-05	0.000510228
ENSG00000254184	TYW1B	4.888929074	1.23E-03	0.007781385
ENSG00000057657	PRDM1	4.887163944	3.83E-04	0.002966873
ENSG00000006025	OSBPL7	4.876449814	1.44E-03	0.008859711
ENSG00000165102	HGSNAT	4.866665479	1.66E-06	2.96E-05
ENSG00000186205	MTARC1	4.856197883	9.75E-06	0.000135015
ENSG00000127995	CASD1	4.854001644	4.47E-05	0.000498746
ENSG00000162711	NLRP3	4.849413552	1.32E-04	0.001215963
ENSG00000059588	TARBP1	4.84657004	7.51E-05	0.000764705
ENSG00000074054	CLASP1	4.84116823	9.22E-23	2.83E-20
ENSG00000102034	ELF4	4.831246527	7.79E-05	0.000789441
ENSG00000159259	CHAF1B	4.829832006	3.65E-04	0.002854483
ENSG00000108389	MTMR4	4.82714314	6.75E-06	9.85E-05
ENSG00000157827	FMNL2	4.825387982	1.11E-04	0.001048865
ENSG00000116852	KIF21B	4.819028265	1.13E-04	0.00106691
ENSG00000088387	DOCK9	4.809522038	4.35E-04	0.003333462
ENSG00000143643	TTC13	4.799234492	1.04E-06	1.95E-05
ENSG00000174106	LEMD3	4.796294647	7.03E-09	2.48E-07
ENSG00000078177	N4BP2	4.793740962	6.83E-07	1.36E-05
ENSG00000145819	ARHGAP26	4.790924072	2.54E-06	4.29E-05
ENSG00000104497	SNX16	4.789505256	1.45E-07	3.57E-06
ENSG00000181222	POLR2A	4.783957982	1.05E-15	1.37E-13
ENSG00000138002	IFT172	4.777571744	8.75E-04	0.005916031
ENSG00000099219	ERMP1	4.757952122	2.54E-04	0.002103838
ENSG00000184677	ZBTB40	4.755410398	8.50E-04	0.005777265
ENSG00000120217	CD274	4.752354349	8.34E-05	0.000834994
ENSG00000221986	MYBPHL	4.749325984	2.95E-04	0.00237824
ENSG00000196712	NF1	4.7423638	1.22E-08	3.99E-07
ENSG00000196935	SRGAP1	4.740329448	8.64E-04	0.005856518
ENSG00000136141	LRCH1	4.729997507	9.22E-05	0.000907409
ENSG00000154479	CFAP210	4.728736653	5.39E-05	0.000580763
ENSG00000173889	PHC3	4.704006221	1.01E-32	8.19E-30
ENSG00000153975	ZUP1	4.698751443	7.29E-05	0.000747479
ENSG00000068976	PYGM	4.697897541	2.94E-04	0.002374219
ENSG00000123607	TTC21B	4.693716718	6.66E-07	1.33E-05
ENSG00000179750	APOBEC3B	4.688505762	1.67E-03	0.009986556
ENSG00000096717	SIRT1	4.686573566	1.09E-05	0.000148263
ENSG00000100577	GSTZ1	4.679472894	3.20E-04	0.002555777
ENSG00000148840	PPRC1	4.663445676	7.02E-04	0.004935255
ENSG00000203880	PCMTD2	4.658463392	9.58E-06	0.000133306
ENSG00000075826	SEC31B	4.651642791	1.20E-03	0.007597452
ENSG00000143624	INTS3	4.651180941	5.10E-06	7.72E-05
ENSG00000157833	GAREM2	4.645090289	1.10E-03	0.007111018
ENSG00000143387	CTSK	4.644371467	5.32E-04	0.003893581
ENSG00000143376	SNX27	4.640099538	3.03E-07	6.80E-06
ENSG00000114544	SLC41A3	4.636848133	1.76E-04	0.001554753
ENSG00000183077	AFMID	4.629582389	1.38E-03	0.008554243
ENSG00000107104	KANK1	4.62354453	1.09E-04	0.001032688
ENSG00000103888	CEMIP	4.618725306	9.73E-05	0.000949663
ENSG00000103064	SLC7A6	4.618189175	2.02E-05	0.000250224
ENSG00000153339	TRAPPC8	4.61571818	9.14E-11	4.87E-09
ENSG00000120129	DUSP1	4.604320498	7.31E-04	0.005101518
ENSG00000186529	CYP4F3	4.603474189	3.45E-04	0.00271686
ENSG00000162402	USP24	4.597558189	9.10E-08	2.40E-06
ENSG00000198561	CTNND1	4.590665609	6.24E-05	0.000658124
ENSG00000155393	HEATR3	4.588265438	9.95E-04	0.006557243
ENSG00000116675	DNAJC6	4.585290535	5.36E-10	2.51E-08
ENSG00000100647	SUSD6	4.582312793	1.66E-10	8.60E-09
ENSG00000176853	FAM91A1	4.58081875	7.49E-08	2.05E-06
ENSG00000144802	NFKBIZ	4.577089379	4.86E-04	0.003614179
ENSG00000179532	DNHD1	4.576186241	1.48E-04	0.001338519
ENSG00000137054	POLR1E	4.570937582	1.30E-03	0.008127983
ENSG00000078808	SDF4	4.566379648	1.26E-04	0.001169519
ENSG00000197405	C5AR1	4.564115339	1.05E-04	0.001002416
