Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Protein poly-ADP-ribosylation (GO:0070212)	1/10	0.0014992947695318503	0.01898164775414636	0	0	1110.4444444444443	7220.954198683598	PARP15
Activation of Adenylate Cyclase Activity (GO:0007190)	1/15	0.0022483852857590027	0.01898164775414636	0	0	713.6785714285714	4351.685756891909	TMIGD3
Positive Regulation of Adenylate Cyclase Activity (GO:0045762)	1/20	0.0029971022769704784	0.01898164775414636	0	0	525.7368421052631	3054.5885497256336	TMIGD3
Regulation of Blood Circulation (GO:1903522)	1/38	0.005689387732894645	0.02702459173124956	0	0	269.72972972972974	1394.274144706199	TMIGD3
Post-translational Protein Modification (GO:0043687)	1/54	0.008078462047277996	0.030698155779656382	0	0	188.1509433962264	906.615436737158	PARP15
Regulation of Heart Contraction (GO:0008016)	1/73	0.010910516765723988	0.03454996975812596	0	0	138.36805555555554	625.1507650815512	TMIGD3
Negative Regulation of Cell Motility (GO:2000146)	1/142	0.021150022923212962	0.05740720507729233	0	0	70.41134751773049	271.5142033166735	TMIGD3
Negative Regulation of Cell Migration (GO:0030336)	1/187	0.027789748503295766	0.06084198703872955	0	0	53.255376344086024	190.81870444963624	TMIGD3
Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558)	1/194	0.028819888597292943	0.06084198703872955	0	0	51.30569948186528	181.9653884070142	PARP15
Inflammatory Response (GO:0006954)	1/298	0.044039226345985824	0.08367453005737306	0	0	33.16498316498316	103.56344836169372	TMIGD3
Negative Regulation of Gene Expression (GO:0010629)	1/383	0.05635937358664171	0.09106294075314199	0	0	25.67408376963351	73.83883710511641	PARP15
Negative Regulation of Cell Population Proliferation (GO:0008285)	1/391	0.05751343626514231	0.09106294075314199	0	0	25.137179487179488	71.78516560137199	TMIGD3
Regulation of Cell Migration (GO:0030334)	1/484	0.07086043994733403	0.10356525838456511	0	0	20.200828157349896	53.47246017987359	TMIGD3
Negative Regulation of Cellular Process (GO:0048523)	1/551	0.08039752855739056	0.10911093161360148	0	0	17.67909090909091	44.564954566501314	TMIGD3
Regulation of Cell Population Proliferation (GO:0042127)	1/777	0.11208573465623832	0.13721048500478694	0	0	12.384664948453608	27.103730409712803	TMIGD3
Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	1/802	0.11554567158297849	0.13721048500478694	0	0	11.982521847690387	25.85935341136164	PARP15
Negative Regulation of DNA-templated Transcription (GO:0045892)	1/1074	0.15261064422772855	0.17056483766628486	0	0	8.818266542404473	16.57715425001205	PARP15
Regulation of Gene Expression (GO:0010468)	1/1146	0.1622455407341037	0.17125918188599834	0	0	8.232314410480349	14.971652565005938	PARP15
Regulation of Transcription by RNA Polymerase II (GO:0006357)	1/2321	0.30932327051485875	0.30932327051485875	0	0	3.8096982758620688	4.4701794411159765	PARP15
